
y	mTm0	 Proton		Deuteron	Pion		Electron
-1.1     0.3375     0.827791 +- 0.00681523      1.13658e-05 +- 1.36044     0.172198 +- 0.0119664      0  
-1.1     0.3625     0.840287 +- 0.00714682      2.25988e-05 +- 1.01589     0.159691 +- 0.0130141      0  
-1.1     0.3875     0.858438 +- 0.00745019      3.11984e-05 +- 0.906543     0.14153 +- 0.0143803      0  
-1.1     0.4125     0.870671 +- 0.00777132      6.12571e-05 +- 0.67742     0.129268 +- 0.0156703      0  
-1.1     0.4375     0.884412 +- 0.00812801      0.000124945 +- 0.498185     0.115463 +- 0.0173073      0  
-1.1     0.4625     0.891409 +- 0.00853171      0.000166753 +- 0.453609     0.108424 +- 0.0187272      0  
-1.1     0.4875     0.907271 +- 0.0088585      0.000390241 +- 0.309343     0.0923388 +- 0.021014      0  
-1.1     0.5125     0.916817 +- 0.00928899      0.000732131 +- 0.237511     0.0824509 +- 0.0232769      0  
-1.1     0.5375     0.92188 +- 0.00978025      0.00109238 +- 0.205057     0.0770281 +- 0.0253287      0  
-1.1     0.5625     0.930777 +- 0.0101978      0.00206424 +- 0.156003     0.0671588 +- 0.0282246      0  
-1.1     0.5875     0.933112 +- 0.0107478      0.00311722 +- 0.133953     0.0637712 +- 0.030498      0  
-1.1     0.6125     0.941165 +- 0.0111749      0.00424724 +- 0.11965     0.0545879 +- 0.0342011      0  
-1.1     0.6375     0.940817 +- 0.0118106      0.0077739 +- 0.0936257     0.0514087 +- 0.0371878      0  
-1.1     0.6625     0.939401 +- 0.0123901      0.0117897 +- 0.0798839     0.0488097 +- 0.0399725      0  
-1.1     0.6875     0.942187 +- 0.0130193      0.0156568 +- 0.0730351     0.042156 +- 0.0450865      0  
-1.1     0.7125     0.942618 +- 0.0136342      0.0186839 +- 0.0701277     0.0386984 +- 0.0492042      0  
-1.1     0.7375     0.927375 +- 0.0144283      0.0364756 +- 0.0533504     0.0361489 +- 0.0535824      0  
-1.1     0.7625     0.935899 +- 0.0150701      0.0310048 +- 0.0604234     0.0330961 +- 0.0585425      0  
-1.1     0.7875     0.936792 +- 0.0157595      0.0362656 +- 0.0585882     0.0269422 +- 0.0676673      0  
-1.1     0.8125     0.909177 +- 0.0167637      0.0615472 +- 0.0480438     0.0292762 +- 0.0685932      0  
-1.1     0.8375     0.872126 +- 0.0179161      0.100158 +- 0.0405276     0.0277156 +- 0.0744629      0  
-1.1     0.8625     0.905906 +- 0.0185501      0.0718572 +- 0.0493934     0.0222368 +- 0.0867113      0  
-1.1     0.8875     0.844743 +- 0.0198767      0.132496 +- 0.0393238     0.0227616 +- 0.0901621      0  
-1.1     0.9125     0.828498 +- 0.0209009      0.155503 +- 0.0383512     0.0159989 +- 0.112115      0  
-1.1     0.9375     0.8259 +- 0.0217431      0.164303 +- 0.0389276     0.0097965 +- 0.148467      0  
-1.1     0.9625     0.847228 +- 0.0230543      0.139727 +- 0.0445915     0.0130454 +- 0.137587      0  
-1.1     0.9875     0.794809 +- 0.0244724      0.196351 +- 0.0401986     0.00884075 +- 0.173966      0  
-1     0.0625     0.528773 +- 0.0211014      1.28885e-06 +- 10.9313     0.396681 +- 0.0232864      0.074545 +- 0.0471169
